battery_kwh,additional_pv_kw,IRR,NPV,total_additional_pv,total_system_pv,accommodation_block_kw,small_shed_kw,ground_mounted_kw
2.8633027307400287e-06,9.169349916180554,0.16395540911004716,12641.89822575226,9.169349916180554,19.169349916180554,9.169349916180554,0.0,0.0
18.227009248887356,49.22620151800759,0.11391282610218698,40621.101221280514,49.22620151800759,59.22620151800759,33.0,10.0,6.226201518007592
18.268148047867122,44.52458211081632,0.11726075830122276,40375.523999767815,44.52458211081632,54.52458211081632,33.0,10.0,1.5245821108163184
0.24999836654745344,21.276643062446624,0.15355386524287065,25465.879782001368,21.276643062446624,31.276643062446624,21.276643062446624,0.0,0.0
15.088856840061656,43.1407409340878,0.12048676299099881,40019.28950258051,43.1407409340878,53.1407409340878,33.0,10.0,0.14074093408780186
0.0051908620367611125,16.91892863940642,0.15824614688203217,21426.60524321681,16.91892863940642,26.91892863940642,16.91892863940642,0.0,0.0
9.604564246593029,34.14695748043036,0.13268299287945548,37875.230853485285,34.14695748043036,44.14695748043036,33.0,1.146957480430359,0.0
0.19151111372817575,19.747702804972462,0.15505095799443314,24124.32673422746,19.747702804972462,29.747702804972462,19.747702804972462,0.0,0.0
1.1469712117542948e-06,13.755954252768195,0.1611845970205,18176.211425729194,13.755954252768195,23.755954252768195,13.755954252768195,0.0,0.0
0.00021310509639215248,25.98085227238061,0.1499880920274632,28957.60728150281,25.98085227238061,35.98085227238061,25.98085227238061,0.0,0.0
0.0051908620367611125,14.713247238557827,0.16029631390822605,19201.25675603527,14.713247238557827,24.713247238557827,14.713247238557827,0.0,0.0
0.00347601875061887,12.351717946942532,0.16234076082968457,16603.148593558,12.351717946942532,22.351717946942532,12.351717946942532,0.0,0.0
15.121099846377572,35.26829688206136,0.12661744043371947,39220.57593246462,35.26829688206136,45.26829688206136,33.0,2.2682968820613567,0.0
10.038016275721642,36.72753297676792,0.12962720976756495,38391.52287912407,36.72753297676792,46.72753297676792,33.0,3.727532976767918,0.0
0.001317284908444427,24.48972344319154,0.15134152859095426,27893.864321450026,24.48972344319154,34.48972344319154,24.48972344319154,0.0,0.0
5.205090290080509,32.58112033000026,0.1382452371725595,35588.73155424172,32.58112033000026,42.58112033000026,32.58112033000026,0.0,0.0
0.0014099846231729884,13.122108073262936,0.16172372191539233,17477.129972497616,13.122108073262936,23.122108073262936,13.122108073262936,0.0,0.0
0.03794298565137977,18.794770525384962,0.15640518385161317,23208.52297504584,18.794770525384962,28.794770525384962,18.794770525384962,0.0,0.0
0.0007884778480242993,27.874696270914345,0.14827364552358865,30215.69721771235,27.874696270914345,37.87469627091434,27.874696270914345,0.0,0.0
0.0013492189396616637,10.725722643483703,0.16346535980044646,14658.187850061286,10.725722643483703,20.725722643483703,10.725722643483703,0.0,0.0
13.092503430037619,35.48040973224506,0.12824341413604162,38959.705330882,35.48040973224506,45.48040973224506,33.0,2.4804097322450573,0.0
13.710817254405125,40.909171526758044,0.12316206965812415,39684.530915719435,40.909171526758044,50.909171526758044,33.0,7.909171526758044,0.0
15.23394531329591,41.09876225608607,0.12194265912880298,39928.603480432954,41.09876225608607,51.09876225608607,33.0,8.098762256086069,0.0
18.268148047867122,46.60879038473647,0.11574362706379637,40536.85147979099,46.60879038473647,56.60879038473647,33.0,10.0,3.608790384736473
0.007964092811392865,30.24041597808548,0.14616850290433564,31661.44471760734,30.24041597808548,40.24041597808548,30.24041597808548,0.0,0.0
6.939637431464883,33.481894740525114,0.13583303822934306,36734.290083946406,33.481894740525114,43.481894740525114,33.0,0.4818947405251137,0.0
0.00020232163380783964,15.797764507378956,0.1593117396584353,20314.539199325147,15.797764507378956,25.797764507378957,15.797764507378956,0.0,0.0
0.004278474808106392,33.42020140563033,0.1429882922573323,33213.210791719495,33.42020140563033,43.42020140563033,33.0,0.4202014056303298,0.0
0.00021310509639215248,15.295708507692114,0.1597822701318351,19804.227803625057,15.295708507692114,25.29570850769211,15.295708507692114,0.0,0.0
0.24999836654745344,23.182339093985675,0.1519090190633375,27008.654080006134,23.182339093985675,33.182339093985675,23.182339093985675,0.0,0.0
1.7778602706957312,32.83080507820115,0.14173484748519447,34007.576678924896,32.83080507820115,42.83080507820115,32.83080507820115,0.0,0.0
0.001133618519681967,10.222596105342488,0.16370694730836938,14024.687837189123,10.222596105342488,20.22259610534249,10.222596105342488,0.0,0.0
7.642863711068086e-06,9.169349916180554,0.1639553659180939,12641.899132731773,9.169349916180554,19.169349916180554,9.169349916180554,0.0,0.0
3.6312056494387,33.03799609304614,0.13950849401048068,35037.67199958045,33.03799609304614,43.03799609304614,33.0,0.03799609304613938,0.0
0.0014661109281797202,32.01608592107866,0.14462422315083123,32642.948761483196,32.01608592107866,42.01608592107866,32.01608592107866,0.0,0.0
0.0012609040905196406,22.330911298319034,0.15329913857681193,26229.45476097206,22.330911298319034,32.33091129831904,22.330911298319034,0.0,0.0
0.16315536598697822,30.87213653366146,0.14539302814867086,32104.852763649953,30.87213653366146,40.87213653366146,30.87213653366146,0.0,0.0
0.00347601875061887,28.94306722790216,0.1473166552588272,30885.42912670174,28.94306722790216,38.94306722790216,28.94306722790216,0.0,0.0
0.00666527500885028,11.607505325949585,0.16287396518164884,15731.706596595488,11.607505325949585,21.607505325949585,11.607505325949585,0.0,0.0
5.624144108300675,33.47506166302132,0.13700329759333163,36113.113266705164,33.47506166302132,43.47506166302132,33.0,0.4750616630213216,0.0
8.825581583043633,33.47506166302132,0.13415926790677027,37505.15195113945,33.47506166302132,43.47506166302132,33.0,0.4750616630213216,0.0
0.00012231935200711364,19.747702804972462,0.15566624013010025,24052.089419586748,19.747702804972462,29.747702804972462,19.747702804972462,0.0,0.0
5.808310822821815,33.47506166302132,0.13684000470082683,36203.22035022127,33.47506166302132,43.47506166302132,33.0,0.4750616630213216,0.0
2.850691427909567,32.584556735641755,0.14067026381181505,34416.6607918478,32.584556735641755,42.584556735641755,32.584556735641755,0.0,0.0
13.849064366581386,33.481894740525114,0.1293086947424849,38708.97029866414,33.481894740525114,43.481894740525114,33.0,0.4818947405251137,0.0
4.210240929426799,32.58112033000026,0.13921977953643347,35092.00488688785,32.58112033000026,42.58112033000026,32.58112033000026,0.0,0.0
14.257497559065062,38.133581447596804,0.12503188321824635,39541.84933097192,38.133581447596804,48.133581447596804,33.0,5.133581447596804,0.0
0.002460043280604641,28.94306722790216,0.14731831711048288,30884.903176454187,28.94306722790216,38.94306722790216,28.94306722790216,0.0,0.0
9.739083491622157,33.47550773450843,0.13330057319660546,37806.1860852786,33.47550773450843,43.47550773450843,33.0,0.4755077345084331,0.0
8.551304875198477,32.4798192316972,0.1351371537220418,37001.525825948585,32.4798192316972,42.4798192316972,32.4798192316972,0.0,0.0
